"","stations","Grade","Shell","D.L.Ratio...ASP","D.L.Ratio...GLU"
"1","IB",1,1,0.09517,0.03036
"2","IB",1,2,0.09146,0.03338
"3","IB",1,3,0.09349,0.03386
"4","IB",1,4,0.1001,0.03427
"5","IB",1,5,0.09089,0.03109
"6","IB",1,6,0.10868,0.0396
"7","IB",1,7,0.09093,0.03513
"8","IB",1,8,0.09058,0.03499
"9","IB",1,9,0.10934,0.0381
"10","IB",1,10,0.0926,0.03139
"11","IB",1,11,0.10139,0.03938
"12","IB",1,12,0.10311,0.03768
"13","IB",1,13,0.10463,0.03855
"14","IB",1,14,0.18147,0.05324
"15","IB",1,15,0.07084,0.02881
"16","IB",3,1,0.10214,0.03945
"17","IB",3,2,0.2962,0.11679
"18","IB",3,3,0.10071,0.03939
"19","IB",3,4,0.11554,0.04195
"20","IB",3,5,0.32113,0.10676
"21","IB",3,6,0.10887,0.03709
"22","IB",3,8,0.35919,0.1317
"23","IB",3,10,0.39386,0.14631
"24","IB",3,11,0.20222,0.06528
"25","IB",3,12,0.25754,0.10383
"26","IB",3,13,0.10761,0.03817
"27","IB",3,14,0.18926,0.06668
"28","IB",3,15,0.09587,0.03913
"29","IB",5,1,0.13829,0.05368
"30","IB",5,2,0.17272,0.05662
"31","IB",5,3,0.36491,0.12811
"32","IB",5,4,0.20663,0.07829
"33","IB",5,5,0.26623,0.10987
"34","IB",5,6,0.23552,0.09107
"35","IB",5,7,0.30261,0.1225
"36","IB",5,9,0.30653,0.1322
"37","IB",5,10,0.36176,0.1555
"38","IB",5,12,0.19466,0.07345
"39","IB",5,13,0.16711,0.06199
"40","IB",5,14,0.1482,0.05825
"41","IB",5,15,0.12976,0.05731
"42","IVC",1,1,0.14478,0.04531
"43","IVC",1,2,0.07485,0.03101
"44","IVC",1,3,0.07956,0.02926
"45","IVC",1,4,0.07688,0.0333
"46","IVC",1,5,0.14706,0.04824
"47","IVC",1,6,0.08188,0.04571
"48","IVC",1,7,0.08006,0.03992
"49","IVC",1,8,0.09446,0.03368
"50","IVC",1,9,0.0789,0.03334
"51","IVC",1,10,0.08277,0.03531
"52","IVC",1,11,0.0842,0.03399
"53","IVC",1,12,0.08133,0.03675
"54","IVC",1,13,0.06798,0.02801
"55","IVC",1,14,0.08181,0.03344
"56","IVC",1,15,0.07846,0.03319
"57","IVC",3,1,0.64026,0.47246
"58","IVC",3,2,0.23801,0.15394
"59","IVC",3,3,0.10006,0.04831
"60","IVC",3,4,0.22563,0.07718
"61","IVC",3,5,0.10538,0.0772
"62","IVC",3,6,0.26361,0.22226
"63","IVC",3,8,0.12232,0.04967
"64","IVC",3,9,0.22215,0.06439
"65","IVC",3,10,0.10221,0.05532
"66","IVC",3,11,0.65112,0.49671
"67","IVC",3,12,0.3383,0.26637
"68","IVC",3,14,0.26156,0.08774
"69","IVC",3,15,0.11296,0.08024
"70","IVC",5,1,0.1323,0.08527
"71","IVC",5,2,0.10127,0.05288
"72","IVC",5,3,0.07786,0.04663
"73","IVC",5,4,0.43932,0.28973
"74","IVC",5,5,0.09813,0.0781
"75","IVC",5,6,0.71298,0.51666
"76","IVC",5,7,0.1655,0.08346
"77","IVC",5,8,0.08307,0.04867
"78","IVC",5,9,0.09217,0.04369
"79","IVC",5,10,0.09614,0.05561
"80","IVC",5,11,0.45309,0.3246
"81","IVC",5,12,0.16662,0.07361
"82","IVC",5,13,0.22338,0.06972
"83","IVC",5,14,0.57387,0.43712
"84","IVC",5,15,0.36442,0.24363
"85","TF",1,2,0.07485,0.03101
"86","TF",1,3,0.07956,0.02926
"87","TF",1,4,0.07688,0.0333
"88","TF",1,5,0.14706,0.04824
"89","TF",1,6,0.08188,0.04571
"90","TF",1,7,0.08006,0.03992
"91","TF",1,8,0.09446,0.03368
"92","TF",1,9,0.0789,0.03334
"93","TF",1,10,0.08277,0.03531
"94","TF",1,12,0.08133,0.03675
"95","TF",1,13,0.06798,0.02801
"96","TF",1,14,0.08181,0.03344
"97","TF",1,15,0.07846,0.03319
"98","TF",3,1,0.64026,0.47246
"99","TF",3,2,0.23801,0.15394
"100","TF",3,3,0.10006,0.04831
"101","TF",3,4,0.22563,0.07718
"102","TF",3,5,0.10538,0.0772
"103","TF",3,6,0.26361,0.22226
"104","TF",3,8,0.12232,0.04967
"105","TF",3,9,0.22215,0.06439
"106","TF",3,10,0.10221,0.05532
"107","TF",3,14,0.26156,0.08774
"108","TF",3,15,0.11296,0.08024
"109","TF",5,1,0.1323,0.08527
"110","TF",5,2,0.10127,0.05288
"111","TF",5,3,0.07786,0.04663
"112","TF",5,4,0.43932,0.28973
"113","TF",5,5,0.09813,0.0781
"114","TF",5,6,0.71298,0.51666
"115","TF",5,7,0.1655,0.08346
"116","TF",5,8,0.08307,0.04867
"117","TF",5,9,0.09217,0.04369
"118","TF",5,10,0.09614,0.05561
"119","TF",5,11,0.45309,0.3246
"120","TF",5,12,0.16662,0.07361
"121","TF",5,13,0.22338,0.06972
"122","TF",5,14,0.57387,0.43712
"123","TF",5,15,0.36442,0.24363
